n,lf model,hf iter,lf iter,mf iter,mf score,mf mass,mf EI,hf score,hf mass,hf EI,lf score,lf mass,lf EI,hf time,lf time,mf time,sparse
1,equiv_cant,20,200,100,230.0639047,0.073458149,43291.83371,1.447553964,0.096839127,4254025.135,2.137600602,0.121972458,3316058.719,7.337796926,85.06315494,49.4428978,FALSE
1,unit,20,200,100,15.31771628,0.078947447,615810.232,4.40807032,0.088407766,1879818.485,0.720845487,0.091069743,6135813.495,7.753170013,105.6404431,39.45408297,FALSE
1,equiv_cant,20,200,200,2.491303449,0.095043245,2944415.151,1.911938695,0.078040188,3528707.882,26.56092959,0.109381008,364278.1744,8.780997753,85.85278416,104.9456851,FALSE
1,unit,20,200,200,10000000000,0.084905295,nan,1.398441112,0.125810271,4400186.699,1.781698678,0.0745546,3693929.732,7.843819141,111.036458,64.31948376,FALSE
1,equiv_cant,50,100,50,16.04545738,0.064256513,588886.5032,1.595107988,0.050688631,3930169.754,1.677484272,0.124982132,3917724.432,22.87595177,28.1860311,25.84372306,FALSE
1,unit,50,100,50,24.77369998,0.067510658,389011.3729,0.61978782,0.082442685,6504720.229,583.6104742,0.063950661,17107.2782,22.67290211,39.16024303,17.3510108,FALSE
1,equiv_cant,50,100,100,4.947910412,0.065654948,1700028.172,0.738541513,0.078630393,6024418.944,3.271046326,0.117579368,2407627.195,27.97464609,32.26666188,100.6112697,FALSE
1,unit,50,100,100,5.696172979,0.067998474,1508711.032,2.315230322,0.087296163,3097956.621,1.144252865,0.084411574,4854742.956,21.23673916,41.84211516,65.65124893,FALSE
1,equiv_cant,50,100,200,30.83202757,0.115482852,315292.857,2.609754461,0.063691984,2820029.276,3.152583827,0.102272919,2468946.268,24.60144806,32.88651705,141.3464351,FALSE
1,unit,50,100,200,1000000000,0.07281634,nan,0.988102053,0.103412382,5305913.304,12.66239855,0.07348678,735894.1,27.460495,60.51424098,72.72215605,FALSE
1,equiv_cant,50,200,50,7.374583229,0.047805823,1200944.797,2.288687761,0.062069328,3099219.882,7.086452163,0.098709812,1251918.197,20.66230226,88.73236036,30.9972868,FALSE
1,unit,50,200,50,4.229712475,0.082070799,1942637.159,0.406406954,0.104984217,7683898.33,1.844593965,0.114494278,3662869.911,25.36704612,104.5240841,53.25319099,FALSE
1,equiv_cant,50,200,100,4.671728874,0.07684057,1787345.78,0.785869648,0.10023453,5932482.003,33.86049441,0.10788011,287748.1364,26.08564687,89.98790622,75.2233429,FALSE
1,unit,50,200,100,9.446872073,0.073600892,964016.0587,0.860249923,0.095124353,5665319.323,18.74699632,0.07166361,508250.6175,20.43713212,139.6739731,47.65125728,FALSE
1,equiv_cant,50,200,200,2.1905901,0.120556195,3257293.016,2.341024585,0.064970517,3052452.674,229.1279626,0.108851406,43474.64846,25.83017874,116.5218952,151.8693388,FALSE
1,equiv_cant,100,200,50,10000000000,0.05174704,nan,1.107682111,0.072536111,4913652.386,3.252967949,0.102255188,2409224.77,51.90509009,91.28094101,53.561023,FALSE
1,unit,100,200,50,12.64240195,0.037693199,735039.6234,0.985223704,0.120939567,5363989.212,10.58093428,0.057439714,867792.3124,42.20908284,103.9231241,26.20054984,FALSE
1,equiv_cant,100,200,100,1000000000,0.112702213,nan,0.954906801,0.114760444,5434350.351,3.198163182,0.115555262,2449414.736,49.58709788,103.1342721,90.67097092,FALSE
1,unit,100,200,100,512.6378308,0.0713018,19471.67394,1.931530994,0.087862331,3516584.098,3.980039347,0.050966135,2028778.955,63.42021918,107.2226009,30.15858698,FALSE
1,equiv_cant,100,200,200,84.08845675,0.045424224,117587.5284,0.329819089,0.112968337,8217934.681,1.254318333,0.121164731,4687894.949,46.49912906,92.97455096,156.3993611,FALSE
1,unit,100,200,200,1000000000,0.074920808,nan,1.986794262,0.077611691,3437391.692,0.709134621,0.115870783,6276424.381,47.72307014,117.816937,84.58341503,FALSE
2,equiv_cant,10,20,50,5.756215617,0.108410803,1504255.958,1.172348627,0.103839963,4834400.831,2.582829404,0.158267691,2920081.703,8.506946802,7.934902191,26.42440009,FALSE
2,equiv_cant,10,20,100,72.46372742,0.114806681,136334.6577,3.362198486,0.086278681,2338678.099,1.429907611,0.136337445,4360014.857,5.9252069,11.10623789,46.89829993,FALSE
2,equiv_cant,10,50,50,3.109620603,0.133488905,2515007.238,0.80076365,0.073281304,5788771.17,131.0526,0.139285312,75807.359,6.276139975,17.60984206,35.10595798,FALSE
2,unit,10,50,50,14.38087107,0.063596997,652857.679,1.838489963,0.101571421,3653744.109,1.910424095,0.091331764,3547241.036,5.522692919,17.61861801,34.76574087,FALSE
2,equiv_cant,10,50,100,1000000000,0.091050507,nan,0.472037764,0.123492926,7415400.451,0.650824335,0.167893511,6743402.89,5.853948116,21.05371594,67.19750094,FALSE
2,unit,10,50,100,10000000000,0.080207065,nan,0.747831347,0.118596699,6137851.298,11.1085224,0.057247045,829787.695,4.72041297,19.76704907,57.36342382,FALSE
2,equiv_cant,10,50,200,351.298635,0.112205771,28394.05261,2.226579568,0.103656456,3202128.148,1.925727794,0.148677233,3600942.72,4.985136032,18.50159073,124.1845241,FALSE
2,unit,10,50,200,10000000000,0.084408056,nan,2.582859602,0.065949265,2843404.876,5.037839039,0.127593449,1691977.067,6.33626914,27.39556885,117.6619151,FALSE
2,equiv_cant,10,100,100,6.396448648,0.111387993,1372672.167,1.044974549,0.096280142,5131640.942,239.6204786,0.139649028,41583.35622,4.281227112,31.083884,58.76634908,FALSE
2,unit,10,100,100,5.597991208,0.136631107,1547661.768,1.193894178,0.078263836,4726723.664,1.699784414,0.096050103,3840637.64,4.382509947,34.57548094,57.59733009,FALSE
2,unit,10,100,200,9.83279738,0.113921853,932933.6809,1.006553791,0.117127057,5292610.623,1.31681036,0.152652448,4620734.903,5.453412056,44.24573398,128.8566289,FALSE
2,equiv_cant,10,200,50,8.889058689,0.089033469,1020405.537,1.785349979,0.133178922,3770495.863,0.690396663,0.148168051,6484122.993,4.900958776,110.6920431,212.513118,FALSE
2,unit,10,200,50,15.54144646,0.064481886,606907.9019,1.191155754,0.152030419,4904063.438,0.538443371,0.147806826,7190951.541,5.390096903,115.3004169,87.02823782,FALSE
2,equiv_cant,10,200,100,3.234860704,0.097152676,2416796.916,3.223018438,0.060603479,2402451.485,3.137006069,0.14221769,2503261.513,6.994396925,125.3112111,91.89650202,FALSE
2,unit,10,200,100,1000000000,0.155392357,nan,1.255784635,0.161664991,4775276.343,1.028261307,0.132721489,5275542.041,8.00412178,150.7811551,44.76024604,FALSE
2,equiv_cant,10,200,200,5.874924496,0.102903114,1476663.973,1.152478969,0.074414301,4812169.783,2.282400499,0.180917798,3224264.316,6.511959076,107.2725871,302.5178273,FALSE
2,unit,10,200,200,15.60056233,0.090616276,605695.4983,1.108586142,0.105918724,4993340.337,0.466314752,0.152116685,7609203.094,4.952253819,128.9164062,305.634104,FALSE
2,unit,20,50,50,262.9435619,0.09609186,37900.68557,1.178452153,0.101289518,4814259.525,1.397181344,0.142514654,4435245.372,10.92567897,23.01158404,33.03263283,FALSE
